Year,Rank,ADMName,Total_Cropland_km2,Cropland_pct_of_ADM
2014,1,Guarayos,1687.09,5.06
2014,2,Ichilo,747.98,4.93
2014,3,Sara,446.14,8.13
2014,4,Ñuflo_De_Chávez,430.94,
2014,5,Marbán,291.04,1.74
2015,1,Guarayos,1869.95,5.61
2015,2,Ichilo,782.17,5.16
2015,3,Sara,495.34,9.03
2015,4,Ñuflo_De_Chávez,470.41,
2015,5,Marbán,332.72,1.99
2016,1,Guarayos,1975.46,5.92
2016,2,Ichilo,807.35,5.33
2016,3,Sara,532.10,9.70
2016,4,Ñuflo_De_Chávez,494.77,
2016,5,Marbán,368.68,2.20
2017,1,Guarayos,2068.76,6.20
2017,2,Ichilo,825.32,5.44
2017,3,Sara,566.98,10.33
2017,4,Ñuflo_De_Chávez,511.72,
2017,5,Marbán,400.43,2.39
2018,1,Guarayos,2147.22,6.44
2018,2,Ichilo,831.53,5.48
2018,3,Sara,596.23,10.86
2018,4,Ñuflo_De_Chávez,523.99,
2018,5,Marbán,425.82,2.54
2019,1,Guarayos,2213.25,6.64
2019,2,Ichilo,832.72,5.49
2019,3,Sara,614.50,11.20
2019,4,Ñuflo_De_Chávez,532.20,
2019,5,Marbán,449.40,2.68
2020,1,Guarayos,2263.79,6.79
2020,2,Ichilo,830.54,5.48
2020,3,Sara,630.53,11.49
2020,4,Ñuflo_De_Chávez,534.81,
2020,5,Marbán,464.93,2.78
2021,1,Guarayos,2355.50,7.06
2021,2,Ichilo,836.38,5.52
2021,3,Sara,665.55,12.13
2021,4,Ñuflo_De_Chávez,537.48,
2021,5,Marbán,495.38,2.96
2022,1,Guarayos,2368.78,7.10
2022,2,Ichilo,839.22,5.54
2022,3,Sara,670.19,12.21
2022,4,Ñuflo_De_Chávez,538.23,
2022,5,Marbán,503.20,3.00
